iter	Passed	Remaining
0	78	39166
1	143	35608
2	207	34425
3	277	34402
4	351	34838
5	415	34226
6	478	33672
7	538	33105
8	604	32998
9	667	32691
10	724	32186
11	782	31816
12	851	31884
13	906	31470
14	968	31307
15	1038	31403
16	1096	31146
17	1160	31077
18	1220	30902
19	1288	30932
20	1350	30798
21	1409	30628
22	1472	30531
23	1540	30545
24	1603	30475
25	1662	30312
26	1723	30188
27	1791	30192
28	1850	30058
29	1908	29907
30	1969	29801
31	2038	29813
32	2097	29687
33	2153	29518
34	2384	31685
35	2453	31625
36	2515	31483
37	2586	31442
38	2806	33169
39	2868	32992
40	2931	32816
41	2992	32636
42	3060	32522
43	3120	32341
44	3177	32128
45	3237	31949
46	3306	31865
47	3429	32297
48	3504	32259
49	3573	32159
50	3633	31991
51	3692	31808
52	3751	31642
53	3818	31539
54	3877	31376
55	3939	31232
56	4001	31097
57	4067	30995
58	4128	30859
59	4186	30700
60	4247	30569
61	4423	31249
62	4531	31436
63	4621	31484
64	4722	31605
65	4971	32693
66	5033	32531
67	5091	32344
68	5152	32185
69	5220	32067
70	5281	31911
71	5344	31771
72	5401	31597
73	5470	31494
74	5534	31362
75	5594	31213
76	5654	31062
77	5720	30951
78	5779	30801
79	5840	30664
80	5900	30522
81	5968	30423
82	6025	30273
83	6078	30101
84	6131	29936
85	6186	29780
86	6243	29639
87	6294	29469
88	6347	29311
89	6402	29168
90	6461	29042
91	6516	28898
92	6568	28746
93	6623	28609
94	6680	28478
95	6733	28334
96	6785	28193
97	6843	28072
98	6900	27950
99	6955	27823
100	7008	27686
101	7065	27570
102	7123	27454
103	7231	27534
104	7328	27570
105	7386	27454
106	7441	27331
107	7492	27196
108	7574	27172
109	7699	27299
110	7762	27203
111	7823	27101
112	7970	27296
113	8055	27276
114	8109	27150
115	8245	27294
116	8323	27247
117	8377	27121
118	8521	27284
119	8604	27247
120	8660	27125
121	8799	27264
122	8876	27207
123	8941	27114
124	9085	27256
125	9151	27162
126	9252	27173
127	9371	27236
128	9432	27128
129	9545	27167
130	9659	27208
131	9715	27084
132	9806	27060
133	9936	27139
134	9994	27023
135	10048	26894
136	10198	27022
137	10272	26946
138	10328	26823
139	10436	26837
140	10543	26844
141	10599	26723
142	10709	26735
143	10813	26732
144	10871	26616
145	10955	26564
146	11080	26609
147	11141	26497
148	11200	26383
149	11301	26370
150	11355	26246
151	11411	26126
152	11472	26018
153	11524	25893
154	11655	25943
155	11709	25821
156	11764	25701
157	11816	25576
158	11874	25467
159	11932	25357
160	11987	25241
161	12044	25129
162	12104	25025
163	12159	24912
164	12212	24794
165	12267	24682
166	12323	24572
167	12382	24471
168	12436	24357
169	12492	24250
170	12550	24146
171	12607	24042
172	12662	23933
173	12715	23823
174	12774	23723
175	12831	23622
176	12885	23515
177	12938	23405
178	12998	23310
179	13056	23211
180	13110	23106
181	13164	23002
182	13221	22903
183	13281	22809
184	13334	22705
185	13388	22602
186	13449	22511
187	13515	22429
188	13571	22331
189	13623	22227
190	13685	22140
191	13738	22038
192	13792	21939
193	13844	21837
194	13902	21744
195	13961	21654
196	14015	21557
197	14068	21457
198	14125	21365
199	14186	21280
200	14240	21183
201	14295	21089
202	14358	21007
203	14411	20910
204	14467	20818
205	14519	20721
206	14577	20634
207	14634	20544
208	14688	20451
209	14741	20357
210	14799	20270
211	14858	20185
212	14912	20093
213	14963	19997
214	15021	19911
215	15080	19827
216	15133	19736
217	15188	19647
218	15245	19561
219	15301	19474
220	15356	19387
221	15408	19294
222	15466	19212
223	15523	19126
224	15576	19038
225	15629	18948
226	15687	18866
227	15743	18781
228	15799	18697
229	15850	18606
230	15907	18524
231	15967	18444
232	16020	18358
233	16074	18273
234	16131	18190
235	16189	18109
236	16242	18023
237	16295	17938
238	16351	17856
239	16408	17776
240	16465	17695
241	16518	17610
242	16576	17531
243	16633	17451
244	16688	17369
245	16740	17284
246	16798	17206
247	16855	17127
248	16910	17046
249	16962	16962
250	17021	16885
251	17081	16810
252	17134	16728
253	17189	16648
254	17244	16568
255	17303	16492
256	17356	16411
257	17408	16329
258	17468	16254
259	17525	16177
260	17580	16098
261	17632	16017
262	17689	15940
263	17745	15863
264	17800	15785
265	17852	15705
266	17913	15632
267	17972	15558
268	18025	15478
269	18078	15400
270	18137	15326
271	18194	15251
272	18249	15174
273	18302	15095
274	18358	15020
275	18418	14948
276	18473	14872
277	18527	14795
278	18585	14722
279	18642	14647
280	18696	14571
281	18747	14492
282	18805	14419
283	18863	14346
284	18918	14271
285	18970	14195
286	19028	14122
287	19087	14050
288	19142	13976
289	19195	13900
290	19252	13827
291	19313	13757
292	19366	13681
293	19420	13607
294	19478	13535
295	19535	13463
296	19591	13390
297	19644	13316
298	19702	13244
299	19760	13173
300	19816	13100
301	19867	13025
302	19924	12954
303	19984	12884
304	20036	12810
305	20092	12738
306	20154	12670
307	20210	12598
308	20263	12525
309	20316	12452
310	20369	12379
311	20427	12308
312	20484	12238
313	20537	12165
314	20600	12098
315	20652	12025
316	20707	11954
317	20759	11881
318	20817	11811
319	20874	11741
320	20929	11670
321	20979	11597
322	21036	11527
323	21095	11459
324	21150	11388
325	21204	11317
326	21267	11251
327	21318	11179
328	21371	11107
329	21426	11037
330	21482	10968
331	21540	10900
332	21593	10829
333	21646	10758
334	21705	10690
335	21762	10621
336	21814	10551
337	21865	10479
338	21924	10412
339	21980	10343
340	22035	10274
341	22084	10202
342	22143	10135
343	22202	10068
344	22256	9999
345	22309	9929
346	22364	9860
347	22423	9794
348	22476	9724
349	22533	9657
350	22587	9588
351	22645	9521
352	22699	9452
353	22749	9382
354	22808	9316
355	22864	9248
356	22919	9180
357	22972	9111
358	23031	9045
359	23087	8978
360	23144	8911
361	23197	8843
362	23255	8776
363	23314	8710
364	23366	8642
365	23422	8575
366	23479	8508
367	23539	8443
368	23592	8375
369	23643	8307
370	23702	8241
371	23759	8175
372	23813	8108
373	23867	8040
374	23921	7973
375	23979	7908
376	24036	7842
377	24086	7773
378	24145	7708
379	24202	7642
380	24254	7575
381	24308	7508
382	24363	7442
383	24423	7378
384	24475	7310
385	24528	7244
386	24585	7178
387	24644	7113
388	24699	7048
389	24753	6981
390	24806	6915
391	24862	6849
392	24914	6783
393	24965	6716
394	25022	6651
395	25077	6586
396	25133	6520
397	25185	6454
398	25241	6389
399	25298	6324
400	25352	6259
401	25406	6193
402	25463	6128
403	25523	6064
404	25576	5999
405	25630	5934
406	25685	5869
407	25743	5804
408	25796	5739
409	25851	5674
410	25910	5610
411	25969	5546
412	26026	5482
413	26080	5417
414	26143	5354
415	26190	5288
416	26245	5223
417	26298	5158
418	26353	5094
419	26414	5031
420	26466	4966
421	26520	4901
422	26578	4838
423	26633	4773
424	26687	4709
425	26739	4644
426	26794	4580
427	26852	4517
428	26904	4452
429	26958	4388
430	27018	4325
431	27072	4261
432	27127	4197
433	27179	4133
434	27236	4069
435	27294	4006
436	27350	3943
437	27400	3878
438	27459	3815
439	27520	3752
440	27573	3689
441	27629	3625
442	27683	3562
443	27741	3498
444	27794	3435
445	27848	3371
446	27891	3307
447	27956	3244
448	28013	3181
449	28066	3118
450	28128	3056
451	28182	2992
452	28238	2929
453	28289	2866
454	28347	2803
455	28402	2740
456	28456	2677
457	28511	2614
458	28565	2551
459	28624	2489
460	28679	2426
461	28731	2363
462	28787	2300
463	28842	2237
464	28893	2174
465	28941	2111
466	28998	2049
467	29058	1986
468	29114	1924
469	29166	1861
470	29219	1799
471	29274	1736
472	29327	1674
